panel,rung,arm,tidy_arm,topic,statistic,value_ms,sd_ms,n,capsules,note
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,philosophy,mean over 16 timed iters,50.225,0.424,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,proLaw,mean over 16 timed iters,52.508,0.394,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,ALL,mean over the 8 topics,51.220,0.876,8,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,clinical,mean over 16 timed iters,53.572,0.672,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,colmath,mean over 16 timed iters,50.948,0.341,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,elecEng,mean over 16 timed iters,52.484,0.501,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,hsPsych,mean over 16 timed iters,53.771,0.384,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,hsWorldHist,mean over 16 timed iters,52.431,0.447,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,lcb,mean over 16 timed iters,53.002,0.422,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,philosophy,mean over 16 timed iters,51.078,0.615,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,proLaw,mean over 16 timed iters,52.693,0.638,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,ALL,mean over the 8 topics,52.498,0.967,8,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),1+2+swap ovl,"1+2 + expert swap, overlapped (reset d4)",1+2 full-orbit swap OVL d4,clinical,mean over 16 timed iters,52.684,0.855,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap ovl,"1+2 + expert swap, overlapped (reset d4)",1+2 full-orbit swap OVL d4,colmath,mean over 16 timed iters,50.252,0.392,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap ovl,"1+2 + expert swap, overlapped (reset d4)",1+2 full-orbit swap OVL d4,elecEng,mean over 16 timed iters,51.303,0.413,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap ovl,"1+2 + expert swap, overlapped (reset d4)",1+2 full-orbit swap OVL d4,hsPsych,mean over 16 timed iters,53.706,0.804,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap ovl,"1+2 + expert swap, overlapped (reset d4)",1+2 full-orbit swap OVL d4,hsWorldHist,mean over 16 timed iters,51.716,0.531,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap ovl,"1+2 + expert swap, overlapped (reset d4)",1+2 full-orbit swap OVL d4,lcb,mean over 16 timed iters,52.817,0.169,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap ovl,"1+2 + expert swap, overlapped (reset d4)",1+2 full-orbit swap OVL d4,philosophy,mean over 16 timed iters,51.259,0.268,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap ovl,"1+2 + expert swap, overlapped (reset d4)",1+2 full-orbit swap OVL d4,proLaw,mean over 16 timed iters,51.495,0.305,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap ovl,"1+2 + expert swap, overlapped (reset d4)",1+2 full-orbit swap OVL d4,ALL,mean over the 8 topics,51.904,1.025,8,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),1+2+swap1 seq,"1+2 + one-round swap, sequential (reset d4)",1+2 one-round swap SEQ d4,clinical,mean over 16 timed iters,52.165,0.424,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 seq,"1+2 + one-round swap, sequential (reset d4)",1+2 one-round swap SEQ d4,colmath,mean over 16 timed iters,50.562,0.679,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 seq,"1+2 + one-round swap, sequential (reset d4)",1+2 one-round swap SEQ d4,elecEng,mean over 16 timed iters,51.546,0.183,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 seq,"1+2 + one-round swap, sequential (reset d4)",1+2 one-round swap SEQ d4,hsPsych,mean over 16 timed iters,53.127,0.424,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 seq,"1+2 + one-round swap, sequential (reset d4)",1+2 one-round swap SEQ d4,hsWorldHist,mean over 16 timed iters,51.144,0.406,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 seq,"1+2 + one-round swap, sequential (reset d4)",1+2 one-round swap SEQ d4,lcb,mean over 16 timed iters,53.024,0.898,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 seq,"1+2 + one-round swap, sequential (reset d4)",1+2 one-round swap SEQ d4,philosophy,mean over 16 timed iters,50.876,0.185,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 seq,"1+2 + one-round swap, sequential (reset d4)",1+2 one-round swap SEQ d4,proLaw,mean over 16 timed iters,51.764,0.291,4,0254c455+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 seq,"1+2 + one-round swap, sequential (reset d4)",1+2 one-round swap SEQ d4,ALL,mean over the 8 topics,51.776,0.885,8,0254c455+2b4c97c0+722a718c+e357608b+e7f0c6ef,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),1+2+swap1 ovl,"1+2 + one-round swap, overlapped (reset d4)",1+2 one-round swap OVL d4,clinical,mean over 16 timed iters,51.757,0.417,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 ovl,"1+2 + one-round swap, overlapped (reset d4)",1+2 one-round swap OVL d4,colmath,mean over 16 timed iters,49.900,0.288,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 ovl,"1+2 + one-round swap, overlapped (reset d4)",1+2 one-round swap OVL d4,elecEng,mean over 16 timed iters,51.522,0.801,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 ovl,"1+2 + one-round swap, overlapped (reset d4)",1+2 one-round swap OVL d4,hsPsych,mean over 16 timed iters,52.356,0.655,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 ovl,"1+2 + one-round swap, overlapped (reset d4)",1+2 one-round swap OVL d4,hsWorldHist,mean over 16 timed iters,50.926,0.479,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 ovl,"1+2 + one-round swap, overlapped (reset d4)",1+2 one-round swap OVL d4,lcb,mean over 16 timed iters,52.022,0.323,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 ovl,"1+2 + one-round swap, overlapped (reset d4)",1+2 one-round swap OVL d4,philosophy,mean over 16 timed iters,50.364,0.330,4,2b4c97c0+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 ovl,"1+2 + one-round swap, overlapped (reset d4)",1+2 one-round swap OVL d4,proLaw,mean over 16 timed iters,51.425,0.347,4,0254c455+722a718c+e357608b+e7f0c6ef,
A: seen basis (S-A per-topic),1+2+swap1 ovl,"1+2 + one-round swap, overlapped (reset d4)",1+2 one-round swap OVL d4,ALL,mean over the 8 topics,51.284,0.781,8,0254c455+2b4c97c0+722a718c+e357608b+e7f0c6ef,value = mean of per-topic means; sd = spread over topics
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,ALL,"whole-schedule mean, mean over reps",57.611,0.994,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,ALL,"whole-schedule median, mean over reps",56.186,0.996,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,clinical,"topic-block mean, mean over reps",54.119,0.543,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,colmath,"topic-block mean, mean over reps",63.881,4.651,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,elecEng,"topic-block mean, mean over reps",57.394,1.343,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,hsPsych,"topic-block mean, mean over reps",54.924,0.533,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,hsWorldHist,"topic-block mean, mean over reps",54.097,0.329,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,lcb,"topic-block mean, mean over reps",59.562,0.433,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,philosophy,"topic-block mean, mean over reps",52.979,1.191,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",COMET,COMET,COMET,proLaw,"topic-block mean, mean over reps",63.932,0.225,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,ALL,"whole-schedule mean, mean over reps",54.766,0.305,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,ALL,"whole-schedule median, mean over reps",54.628,0.297,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,clinical,"topic-block mean, mean over reps",54.439,1.381,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,colmath,"topic-block mean, mean over reps",54.986,0.650,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,elecEng,"topic-block mean, mean over reps",54.274,0.487,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,hsPsych,"topic-block mean, mean over reps",54.836,0.557,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,hsWorldHist,"topic-block mean, mean over reps",52.305,0.564,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,lcb,"topic-block mean, mean over reps",56.007,0.610,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,philosophy,"topic-block mean, mean over reps",52.792,0.350,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",1,1: token-comm overlap,1 token-comm overlap,proLaw,"topic-block mean, mean over reps",58.491,0.163,3,46fdee0e+e5fcc8d4+f3ee8e20,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),ALL,"whole-schedule mean, mean over reps",59.240,0.307,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),ALL,"whole-schedule median, mean over reps",56.641,0.067,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),clinical,"topic-block mean, mean over reps",56.220,2.845,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),colmath,"topic-block mean, mean over reps",53.358,0.289,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),elecEng,"topic-block mean, mean over reps",56.481,0.288,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),hsPsych,"topic-block mean, mean over reps",56.649,0.572,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),hsWorldHist,"topic-block mean, mean over reps",58.413,0.306,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),lcb,"topic-block mean, mean over reps",56.838,0.397,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),philosophy,"topic-block mean, mean over reps",55.803,0.217,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",2,2: placement + routing,2 placement only (pr0),proLaw,"topic-block mean, mean over reps",80.161,0.034,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,ALL,"whole-schedule mean, mean over reps",53.635,0.719,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,ALL,"whole-schedule median, mean over reps",50.445,0.289,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,clinical,"topic-block mean, mean over reps",53.886,6.750,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,colmath,"topic-block mean, mean over reps",48.002,0.327,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,elecEng,"topic-block mean, mean over reps",49.238,0.851,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,hsPsych,"topic-block mean, mean over reps",51.229,0.315,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,hsWorldHist,"topic-block mean, mean over reps",51.083,0.244,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,lcb,"topic-block mean, mean over reps",52.419,0.314,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,philosophy,"topic-block mean, mean over reps",50.436,0.758,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2,1+2 (no expert movement),1+2 static,proLaw,"topic-block mean, mean over reps",72.788,0.901,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,ALL,"whole-schedule mean, mean over reps",52.802,0.203,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,ALL,"whole-schedule median, mean over reps",51.504,0.263,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,clinical,"topic-block mean, mean over reps",50.210,0.135,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,colmath,"topic-block mean, mean over reps",48.953,0.466,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,elecEng,"topic-block mean, mean over reps",51.280,0.441,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,hsPsych,"topic-block mean, mean over reps",53.503,0.686,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,hsWorldHist,"topic-block mean, mean over reps",52.127,0.030,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,lcb,"topic-block mean, mean over reps",54.534,0.329,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,philosophy,"topic-block mean, mean over reps",51.356,0.154,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap seq,"1+2 + expert swap, sequential",1+2 full-orbit swap SEQ,proLaw,"topic-block mean, mean over reps",60.452,0.533,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,ALL,"whole-schedule mean, mean over reps",52.033,0.109,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,ALL,"whole-schedule median, mean over reps",51.490,0.116,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,clinical,"topic-block mean, mean over reps",50.048,0.130,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,colmath,"topic-block mean, mean over reps",48.721,0.644,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,elecEng,"topic-block mean, mean over reps",51.681,0.593,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,hsPsych,"topic-block mean, mean over reps",52.206,0.294,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,hsWorldHist,"topic-block mean, mean over reps",51.868,0.299,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,lcb,"topic-block mean, mean over reps",53.382,0.713,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,philosophy,"topic-block mean, mean over reps",51.191,0.457,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap ovl,"1+2 + expert swap, overlapped",1+2 full-orbit swap OVL,proLaw,"topic-block mean, mean over reps",57.169,0.501,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,ALL,"whole-schedule mean, mean over reps",52.324,0.190,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,ALL,"whole-schedule median, mean over reps",51.224,0.217,3,6d895fb0+8a8d3bd7+b88243db,
"B: drift schedule (S-C dwell 4, placement carried over)",1+2+swap1 seq,"1+2 + one-round swap, sequential",1+2 one-round swap SEQ,clinical,"topic-block mean, mean over reps",50.017,0.432,3,6d895fb0+8a8d3bd7+b88243db,
